title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Incredi les 2  ,2018,PG,118," Animation, Action, Adventure            ",7.6,80,    Brad Bird  ,      Craig T. Nelson,   Holly Hunter,   Sarah Vowell,   Huck Milner  ,253470,608580000
    Moana  ,2016,PG,107," Animation, Adventure, Comedy            ",7.6,81,    Ron Clements   ,         Chris Williams    ,   Auli    i Cravalho,     Dwayne Johnson,,276538,248760000
    The Secret World of Arrietty  ,2010,G,94," Animation, Adventure, Family            ",7.6,80,    Hiromasa Yone ayashi  ,      Amy Poehler,   Will Arnett,   Mirai Shida,   Rynosuke Kamiki  ,81991,19200000
    Despica le Me  ,2010,PG,95," Animation, Comedy, Crime            ",7.6,72,    Pierre Coffin   ,       Steve Carell,   Jason Segel,   Russell Brand,   Julie Andrews    ,503538,251510000
    5 Centimeters Per Second  ,2007,TV-PG,63," Animation, Drama, Family            ",7.6,0,    Makoto Shinkai  ,      Kenji Mizuhashi,   Yoshimi Kondou,   Satomi Hanamura,   Ayaka Onoue  ,51777,0
    Stardust  ,2007,PG-13,127," Adventure, Family, Fantasy            ",7.6,66,    Matthew Vaughn  ,      Charlie Cox,   Claire Danes,   Sienna Miller,   Ian McKellen  ,256300,38630000
    The Secret of Kells  ,2009,Not Rated,75," Animation, Adventure, Family            ",7.6,81,    Tomm Moore   ,       Evan McGuire,   Brendan Gleeson,   Mick Lally,   Christen Mooney    ,32216,690000
    Harry Potter and the Half-Blood Prince  ,2009,PG,153," Action, Adventure, Family            ",7.6,78,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Michael Gam on  ,479093,301960000
    Finding Neverland  ,2004,PG,106," Biography, Drama, Family            ",7.6,67,    Marc Forster  ,      Johnny Depp,   Kate Winslet,   Julie Christie,   Radha Mitchell  ,199416,51680000
    Harry Potter and the Sorcerer' s Stone  ,2001,PG,152," Adventure, Family, Fantasy            ",7.6,64,    Chris Colum us  ,      Daniel Radcliffe,   Rupert Grint,   Richard Harris,   Maggie Smith  ,664745,317580000
    Raya and the Last Dragon  ,2021,PG,107," Animation, Action, Adventure            ",7.5,75,    Don Hall   ,      John Ripa  ,    Kelly Marie Tran,   Awkwafina,,26006,0
    The Red Turtle  ,2016,PG,80," Animation, Family, Fantasy            ",7.5,86,    Michael Dudok de Wit  ,      Emmanuel Garijo,   Tom Hudson,   Baptiste Goy,   Axel Devillers  ,31732,920000
    A Monster Calls  ,2016,PG-13,108," Adventure, Drama, Family            ",7.5,76,    J.A. Bayona  ,      Lewis MacDougall,   Sigourney Weaver,   Felicity Jones,   To y Ke  ell  ,81859,3730000
    How to Train Your Dragon: The Hidden World  ,2019,PG,104," Animation, Action, Adventure            ",7.5,71,    Dean DeBlois  ,      Jay Baruchel,   America Ferrera,   F. Murray A raham,   Cate Blanchett  ,106424,160800000
    Hugo  ,2011,PG,126," Drama, Family, Fantasy            ",7.5,83,    Martin Scorsese  ,      Asa Butterfield,   Chlo Grace Moretz,   Christopher Lee,   Ben Kingsley  ,306617,73860000
    Kung Fu Panda  ,2008,PG,92," Animation, Action, Adventure            ",7.5,74,    Mark Os orne   ,       Jack Black,   Ian McShane,   Angelina Jolie,   Dustin Hoffman    ,422670,215430000
